Guided mode log DATA time.struct_time(tm_year=2016, tm_mon=6, tm_mday=6, tm_hour=21, tm_min=38, tm_sec=1, tm_wday=0, tm_yday=158, tm_isdst=0)
time	 RC5VAL	 yaw_angle	 objposx	 objposy	 RC7VAL	 vx	 vy	 gain	 size	 roll	 pitch	 RC6VAL
1465249396.902235	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092483	0.047190	1400.000000
1465249397.443016	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092748	0.047377	1400.000000
1465249397.947911	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092766	0.047501	1400.000000
1465249398.447867	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092492	0.047615	1400.000000
1465249399.057728	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092349	0.047519	1400.000000
1465249399.606922	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092407	0.047606	1400.000000
1465249400.221685	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092211	0.047442	1400.000000
1465249400.700547	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092195	0.047396	1400.000000
1465249401.278803	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.609263	0.256441	1400.000000
1465249401.865161	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.565030	-0.067426	1400.000000
1465249402.371547	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.961106	-0.009081	1400.000000
1465249402.954704	1400.000000	-0.657525	623.961670	446.811493	1400.000000	-0.400000	0.400000	0.400000	9.040304	-1.939222	0.034873	1400.000000
1465249403.491920	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.966652	-0.069025	1400.000000
1465249404.079311	1400.000000	-0.407224	282.178223	459.556030	1400.000000	0.400000	0.400000	0.400000	17.083727	-1.747087	-0.269294	1400.000000
1465249404.605270	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.528366	-0.312357	1400.000000
1465249405.154895	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.752716	-0.092351	1400.000000
